"","iso2","geo","citizen","sum","pop","perU","sq","cit.code"
"167","NO","Norway","Ukraine",30,4552252,0.329507241690486,0,"cit.Ukra"
"168","NO","Norway","Kosovo (under United Nations Security Council Resolution 1244/99)",95,4552252,1.04343959868654,1,"cit.Koso"
"169","NO","Norway","Total",1670,4552252,18,6,"cit.Tota"
"170","SE","Sweden","Afghanistan",875,8940788,4.89330470647554,5,"cit.Afgh"
"171","SE","Sweden","Albania",415,8940788,2.3208245179284,2,"cit.Alba"
"172","SE","Sweden","Eritrea",715,8940788,3.99852898872001,4,"cit.Erit"
"173","SE","Sweden","Iraq",630,8940788,3.52317938866239,4,"cit.Iraq"
"174","SE","Sweden","Libya",125,8940788,0.699043529496505,1,"cit.Liby"
"175","SE","Sweden","Mali",10,8940788,0.0559234823597204,0,"cit.Mali"
"176","SE","Sweden","Serbia",405,8940788,2.26490103556868,2,"cit.Serb"
"177","SE","Sweden","Somalia",1140,8940788,6.37527698900813,6,"cit.Soma"
"178","SE","Sweden","Stateless",640,8940788,3.57910287102211,4,"cit.Stat"
"179","SE","Sweden","Syria",3475,8940788,19.4334101200028,19,"cit.Syri"
"180","SE","Sweden","Ukraine",380,8940788,2.12509232966938,2,"cit.Ukra"
"181","SE","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)",880,8940788,4.9212664476554,5,"cit.Koso"
"182","SE","Sweden","Total",13065,8940788,73,19,"cit.Tota"
"183","UK","United Kingdom","Afghanistan",360,59501394,0.302513920934357,0,"cit.Afgh"
"184","UK","United Kingdom","Albania",415,59501394,0.34873132552155,0,"cit.Alba"
"185","UK","United Kingdom","Eritrea",710,59501394,0.596624677398314,1,"cit.Erit"
"186","UK","United Kingdom","Iraq",285,59501394,0.239490187406366,0,"cit.Iraq"
"187","UK","United Kingdom","Libya",290,59501394,0.243691769641565,0,"cit.Liby"
"188","UK","United Kingdom","Mali",0,59501394,0,0,"cit.Mali"
"189","UK","United Kingdom","Serbia",0,59501394,0,0,"cit.Serb"
"190","UK","United Kingdom","Somalia",110,59501394,0.0924348091743867,0,"cit.Soma"
"191","UK","United Kingdom","Stateless",80,59501394,0.0672253157631904,0,"cit.Stat"
"192","UK","United Kingdom","Syria",595,59501394,0.499988285988728,0,"cit.Syri"
"193","UK","United Kingdom","Ukraine",55,59501394,0.0462174045871934,0,"cit.Ukra"
"194","UK","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)",5,59501394,0.0042015822351994,0,"cit.Koso"
"195","UK","United Kingdom","Total",7495,59501394,6,5,"cit.Tota"
